,吉利车型,低配价格,高配价格,其它车型,其它车型低配价格,其它车型高配价格
0,星越L,13.72,18.52,长城汽车-坦克300 2021款,17.58,30.3
1,星越L,13.72,18.52,比亚迪-宋PLUS新能源 2021款,10.55,21.6
2,星越L,13.72,18.52,长安汽车-长安欧尚Z6 2022款,9.99,12.9
3,星越L,13.72,18.52,东风本田-本田CR-V 2021款,15.78,28.1
4,帝豪,6.28,12.98,东风日产-轩逸 2022款,8.00,17.8
5,帝豪,6.28,12.98,奇瑞汽车-艾瑞泽5 PLUS 2021款,6.20,9.9
6,帝豪,6.28,12.98,上汽集团-荣威i5 2021款,5.99,9.9
7,帝豪,6.28,12.98,一汽-大众-宝来 2021款,7.30,13.9
8,博越,9.18,14.28,长城汽车-哈弗H6 2021款,8.40,15.7
9,博越,9.18,14.28,广汽乘用车-传祺GS4 PLUS 2021款,12.68,15.0
10,博越,9.18,14.28,长安汽车-长安CS75 PLUS 2022款,10.06,15.4
11,博越,9.18,14.28,上汽集团-荣威RX5 2022款,8.48,14.7
12,星瑞,11.37,15.27,东风本田-思域 2022款,10.90,17.0
13,星瑞,11.37,15.27,领克-领克03 2022款,12.38,25.6
14,星瑞,11.37,15.27,长安汽车-长安UNI-V 2022款,10.15,13.3
15,星瑞,11.37,15.27,一汽-大众-宝来 2021款,7.30,13.9
16,缤越,7.58,11.98,长安汽车-长安欧尚X5 2022款,6.99,11.6
17,缤越,7.58,11.98,广汽乘用车-传祺GS3 2021款,8.00,10.8
18,缤越,7.58,11.98,长安汽车-长安CS55PLUS 2022款,8.60,12.1
19,缤越,7.58,11.98,广汽本田-缤智 2022款,9.88,15.9
20,缤瑞,7.98,10.98,东风日产-轩逸 2022款,8.00,17.8
21,缤瑞,7.98,10.98,广汽乘用车-影豹 2021款,10.80,13.8
22,缤瑞,7.98,10.98,长安汽车-长安UNI-V 2022款,10.15,13.3
23,缤瑞,7.98,10.98,一汽-大众-宝来 2021款,7.30,13.9
24,豪越,10.36,14.26,长城汽车-哈弗H6 2021款,8.40,15.7
25,豪越,10.36,14.26,长安汽车-长安欧尚X7 PLUS 2022款,7.68,13.3
26,豪越,10.36,14.26,长安汽车-长安CS75 PLUS 2022款,10.06,15.4
27,豪越,10.36,14.26,奇瑞汽车-瑞虎8 2021款,7.18,16.8
28,远景X3,4.99,6.89,长安汽车-长安欧尚X5 2022款,6.99,11.6
29,远景X3,4.99,6.89,长安汽车-悦翔 2019款,4.00,6.1
30,远景X3,4.99,6.89,几何汽车-EX3 功夫牛 2021款,4.67,7.5
31,远景X6,7.59,8.99,长城汽车-哈弗M6 2021款,6.00,9.2
32,远景X6,7.59,8.99,长安汽车-长安欧尚X5 2022款,6.99,11.6
33,远景X6,7.59,8.99,长安汽车-长安CS55PLUS 2022款,8.60,12.1
34,远景X6,7.59,8.99,上汽通用五菱-五菱星辰 2021款,6.89,11.1
35,吉利ICON,9.98,13.2,东风本田-本田XR-V 2022款,10.30,16.5
36,吉利ICON,9.98,13.2,广汽本田-缤智 2022款,9.88,15.9
37,吉利ICON,9.98,13.2,一汽-大众奥迪-奥迪Q2L 2022款,17.60,26.8
38,星越,12.78,18.78,长城汽车-哈弗H6 2021款,8.40,15.7
39,星越,12.78,18.78,比亚迪-宋PLUS新能源 2021款,10.55,21.6
40,星越,12.78,18.78,长安汽车-长安CS75 PLUS 2022款,10.06,15.4
41,星越,12.78,18.78,领克-领克05 2022款,17.58,26.9
42,帝豪S,8.49,10.89,长城汽车-坦克300 2021款,17.58,30.3
43,帝豪S,8.49,10.89,比亚迪-宋PLUS新能源 2021款,10.55,21.6
44,帝豪S,8.49,10.89,长安汽车-长安欧尚Z6 2022款,9.99,12.9
45,帝豪S,8.49,10.89,东风本田-本田CR-V 2021款,15.78,28.1
46,帝豪L 雷神Hi·X,12.98,14.58,长安福特-福克斯 2022款,8.79,15.8
47,帝豪L 雷神Hi·X,12.98,14.58,东风日产-轩逸 2022款,8.00,17.8
48,帝豪L 雷神Hi·X,12.98,14.58,一汽-大众-速腾 2023款,11.60,17.2
49,帝豪L 雷神Hi·X,12.98,14.58,上汽大众-朗逸 2023款,6.69,16.5
50,帝豪L 雷神Hi·X,12.98,14.58,一汽-大众-宝来 2021款,7.30,13.9
51,帝豪L,9.39,10.99,东风日产-轩逸 2022款,8.00,17.8
52,帝豪L,9.39,10.99,奇瑞汽车-艾瑞泽5 PLUS 2021款,6.20,9.9
53,帝豪L,9.39,10.99,长安汽车-长安UNI-V 2022款,10.15,13.3
54,帝豪L,9.39,10.99,一汽-大众-宝来 2021款,7.30,13.9
55,嘉际,11.98,14.28,上汽通用别克-别克GL6 2021款,10.99,16.9
56,嘉际,11.98,14.28,比亚迪-宋MAX新能源 2022款,14.58,17.2
57,嘉际,11.98,14.28,广汽乘用车-传祺M6 2021款,10.18,15.9
58,嘉际,11.98,14.28,上汽通用五菱-五菱凯捷 2022款,7.88,15.0
59,博瑞,13.18,14.38,长安福特-蒙迪欧 2022款,15.28,21.9
60,博瑞,13.18,14.38,广汽本田-雅阁 2022款,16.88,25.3
61,博瑞,13.18,14.38,长安汽车-长安UNI-V 2022款,10.15,13.3
62,博瑞,13.18,14.38,一汽红旗-红旗H5 2022款,11.80,19.0
63,缤越新能源,11.98,13.58,东风本田-本田XR-V 2022款,10.30,16.5
64,缤越新能源,11.98,13.58,广汽本田-缤智 2022款,9.88,15.9
65,缤越新能源,11.98,13.58,一汽-大众奥迪-奥迪Q2L 2022款,17.60,26.8
66,星越S,13.57,17.17,长城汽车-哈弗H6 2021款,8.40,15.7
67,星越S,13.57,17.17,长安汽车-长安CS75 PLUS 2022款,10.06,15.4
68,星越S,13.57,17.17,领克-领克05 2022款,17.58,26.9
69,星越S,13.57,17.17,东风本田-本田CR-V 2021款,15.78,28.1
70,帝豪新能源,13.58,16.18,长安福特-福克斯 2022款,8.79,15.8
71,帝豪新能源,13.58,16.18,东风日产-轩逸 2022款,8.00,17.8
72,帝豪新能源,13.58,16.18,一汽-大众-速腾 2023款,11.60,17.2
73,帝豪新能源,13.58,16.18,上汽大众-朗逸 2023款,6.69,16.5
74,帝豪新能源,13.58,16.18,一汽-大众-宝来 2021款,7.30,13.9
75,星越新能源,15.58,19.68,长城汽车-坦克300 2021款,17.58,30.3
76,星越新能源,15.58,19.68,比亚迪-宋PLUS新能源 2021款,10.55,21.6
77,星越新能源,15.58,19.68,长安汽车-长安欧尚Z6 2022款,9.99,12.9
78,星越新能源,15.58,19.68,东风本田-本田CR-V 2021款,15.78,28.1
79,嘉际新能源,15.18,17.48,上汽大众-途安 2021款,11.38,19.4
80,嘉际新能源,15.18,17.48,比亚迪-宋MAX新能源 2022款,14.58,17.2
81,嘉际新能源,15.18,17.48,上汽通用五菱-五菱佳辰 2022款,8.18,10.5
82,嘉际新能源,15.18,17.48,广汽乘用车-传祺M6 2021款,10.18,15.9
83,嘉际新能源,15.18,17.48,上汽通用五菱-五菱凯捷 2022款,7.88,15.0
84,博瑞新能源,15.58,16.98,长安林肯-林肯Z 2022款,19.98,39.9
85,博瑞新能源,15.58,16.98,长安福特-蒙迪欧 2022款,15.28,21.9
86,博瑞新能源,15.58,16.98,广汽本田-雅阁 2022款,16.88,25.3
87,博瑞新能源,15.58,16.98,北京奔驰-奔驰C级 2022款,27.00,38.0
88,博瑞新能源,15.58,16.98,一汽-大众奥迪-奥迪A4L 2022款,25.00,34.2
89,帝豪GL新能源,16.88,16.88,长安福特-福克斯 2022款,8.79,15.8
90,帝豪GL新能源,16.88,16.88,东风日产-轩逸 2022款,8.00,17.8
91,帝豪GL新能源,16.88,16.88,一汽-大众-速腾 2023款,11.60,17.2
92,帝豪GL新能源,16.88,16.88,上汽大众-朗逸 2023款,6.69,16.5
93,帝豪GL新能源,16.88,16.88,一汽-大众-宝来 2021款,7.30,13.9
